A_id,A_name,A_addr,A_by,B_id,B_name,B_addr,B_by,dist_m,name_sim,same_road_token
cmol1yjno000xqxm06j5rvf6c,영칼로리포케&샐러드 서울학동역점,"서울특별시 강남구 학동로25길 11 지하 1층 103호 논현동,씨플레이스",학동봇,cmoqh9g6p0002vdu4kgoy7o95,영칼로리포케 서울학동역점,서울 강남구 학동로25길 11,Zen,11.3,0.80,Y
cmol1ymf2002bqxm0e082sr55,롯데리아 학동역점,학동로 219 국제빌딩,학동봇,cmoqpq5ol001v11msz0pyxicv,이디야커피 학동역점,서울특별시 강남구 학동로 219 국제빌딩,회사장부,9.6,0.44,Y
cmol1z3w200adqxm0ef3m4sqz,보승회관 강남구청역점,선릉로131길 8 노벨빌딩 1층 102호,학동봇,cmol1zazu00duqxm0rm8js1zy,동대문엽기떡볶이 강남구청역점,선릉로131길 8 노벨빌딩 1층 101호,학동봇,4.8,0.43,Y
cmojjrr5300025p2ix2qjl7wr,그림나베 학동역점,서울 강남구 논현로132길 29,학동두루미,cmoqpqckg003r11msjdjux7yt,동천홍 학동점,서울특별시 강남구 논현로132길 29,회사장부,2.5,0.38,Y
cmol1yniy002vqxm0dfc7l4qo,레몬그라스타이 강남구청점,학동로 338 SB111호,학동봇,cmol1zch800ejqxm0m1hmx1xf,슬로우캘리 강남구청역점,학동로 338 강남파라곤 SB103호,학동봇,8.1,0.33,Y
cmol1yuyi006hqxm0v79yzfcx,류몽민 학동역점,서울특별시 강남구 학동로25길 11 씨플레이스 2층 101호,학동봇,cmoqh9g6p0002vdu4kgoy7o95,영칼로리포케 서울학동역점,서울 강남구 학동로25길 11,Zen,11.2,0.33,Y
cmol1ynsw0030qxm0cb3jhv1t,효도치킨 논현점,도산대로46길 21 101동 지1층 B120호,학동봇,cmol1yrdp004tqxm0qf7u6b3l,컴포즈커피 논현스마일점,도산대로46길 21,학동봇,17.1,0.27,Y
cmol1yjno000xqxm06j5rvf6c,영칼로리포케&샐러드 서울학동역점,"서울특별시 강남구 학동로25길 11 지하 1층 103호 논현동,씨플레이스",학동봇,cmol1yuyi006hqxm0v79yzfcx,류몽민 학동역점,서울특별시 강남구 학동로25길 11 씨플레이스 2층 101호,학동봇,3.2,0.27,Y
cmojgq67v000213bhf9gog8v9,천미향 논현직영점,서울 강남구 학동로37길 23,학동두루미,cmoqpq22e000j11ms4dh9zmxz,세븐일레븐 논현건설회관점,서울특별시 강남구 학동로37길 23,회사장부,2.7,0.25,Y
cmojgq67v000213bhf9gog8v9,천미향 논현직영점,서울 강남구 학동로37길 23,학동두루미,cmojgs32g000913bhdjkc3g4k,맛뜸최가뼈다귀해장국 논현1호점,서울 강남구 학동로37길 23,학동두루미,6.8,0.20,Y
cmol1yjno000xqxm06j5rvf6c,영칼로리포케&샐러드 서울학동역점,"서울특별시 강남구 학동로25길 11 지하 1층 103호 논현동,씨플레이스",학동봇,cmol1yvis006rqxm0wh70m4c8,이가원항아리수제비 학동점,학동로25길 11 1층 102호,학동봇,12.4,0.20,Y
cmol1yuyi006hqxm0v79yzfcx,류몽민 학동역점,서울특별시 강남구 학동로25길 11 씨플레이스 2층 101호,학동봇,cmol1yvis006rqxm0wh70m4c8,이가원항아리수제비 학동점,학동로25길 11 1층 102호,학동봇,10.4,0.17,Y
cmol1yvis006rqxm0wh70m4c8,이가원항아리수제비 학동점,학동로25길 11 1층 102호,학동봇,cmoqh9g6p0002vdu4kgoy7o95,영칼로리포케 서울학동역점,서울 강남구 학동로25길 11,Zen,7.0,0.17,Y
cmol1yniy002vqxm0dfc7l4qo,레몬그라스타이 강남구청점,학동로 338 SB111호,학동봇,cmol1z1ed0094qxm0dglw678v,365활새우 창우수산 강남본점,"학동로 338 강남파라곤 로비층 107호, 108호",학동봇,19.8,0.14,Y
cmol1z1ed0094qxm0dglw678v,365활새우 창우수산 강남본점,"학동로 338 강남파라곤 로비층 107호, 108호",학동봇,cmol1zch800ejqxm0m1hmx1xf,슬로우캘리 강남구청역점,학동로 338 강남파라곤 SB103호,학동봇,23.8,0.14,Y
cmojgs32g000913bhdjkc3g4k,맛뜸최가뼈다귀해장국 논현1호점,서울 강남구 학동로37길 23,학동두루미,cmoqpq1mk000c11msk9a2tlo6,최가맛뜸,서울특별시 강남구 학동로37길 23,회사장부,4.9,0.13,Y
