xlsx_name,xlsx_addr,visits,kind,db_id,db_name,db_addr,extra
화항풍국제무역（주） 알펜,서울특별시 강남구 학동로37길 19 화항풍국제무역(주)알펜 화항풍국제무역（주） 알펜,42,REGISTRABLE,,,서울특별시 강남구 학동로37길 19,"lat=37.516574, lng=127.034200"
천미향,서울특별시 강남구 학동로37길 23(논현동) 2층,10,MATCHED,cmojgq67v000213bhf9gog8v9,천미향 논현직영점,서울 강남구 학동로37길 23,score=0.85
최가맛뜸,서울특별시 강남구 학동로37길 23 (논현동) 원광빌딩 1층,9,REGISTRABLE,,,서울특별시 강남구 학동로37길 23,"lat=37.516855, lng=127.034326"
세븐일레븐 논현건설회관점,"서울특별시 강남구 학동로37길 23,  1층 103호(논현동)",9,REGISTRABLE,,,서울특별시 강남구 학동로37길 23,"lat=37.516855, lng=127.034326"
학동수제비,서울특별시 강남구 논현로132길 29 (논현동) 1층,8,REGISTRABLE,,,서울특별시 강남구 논현로132길 29,"lat=37.515557, lng=127.032768"
GS25학동제일점,"서울 강남구 학동로33길 7(논현2동 88-5, 이룸빌딩)",8,REGISTRABLE,,,서울특별시 강남구 학동로33길 7 태승빌딩,"lat=37.515228, lng=127.032540"
청와옥본사직영학동점,"서울 강남구 언주로 708 1,2층(논현동,경원빌딩)",7,REGISTRABLE,,,서울특별시 강남구 언주로 708 경원빌딩,"lat=37.516292, lng=127.035740"
하남돼지집 학동역점,서울특별시 강남구 언주로133길 18(논현동) 1층,5,MATCHED,cmol1ywmw007bqxm021gsm3o9,하남돼지집 학동역점,언주로133길 18,score=1.00
맘스터치LAB 학동역점,"서울특별시 강남구 학동로 215 (논현동) 105,106호",4,MATCHED,cmojjvmu6000910kc3b23qcn1,맘스터치LAB 학동역점,서울 강남구 학동로 215,score=1.00
강창구찹쌀진순대영등포에이스하이테크시티점,서울특별시 영등포구 경인로 775 (문래동3가) b127호,4,OUT_OF_AREA,,,,
논현삼겹,서울특별시 강남구 논현로136길 12 101호 논현삼겹 논현삼겹,3,REGISTRABLE,,,서울특별시 강남구 논현로136길 12,"lat=37.515990, lng=127.031100"
아부라 소바,서울특별시 강남구 학동로43길 8 아부라 소바,3,REGISTRABLE,,,서울특별시 강남구 학동로43길 8,"lat=37.516645, lng=127.037481"
이디야커피 학동역점,서울특별시 강남구 학동로 219 이디야커피 학동역점,2,REGISTRABLE,,,서울특별시 강남구 학동로 219 국제빌딩,"lat=37.514999, lng=127.033149"
그림나베 학동역점,"서울특별시 강남구 논현로132길 29, 1층 (논현동) 그림나베 학동역점",2,MATCHED,cmojjrr5300025p2ix2qjl7wr,그림나베 학동역점,서울 강남구 논현로132길 29,score=1.00
사랑채,서울특별시 강남구 언주로133길 31 (논현동) 사랑채,2,REGISTRABLE,,,서울특별시 강남구 언주로133길 31 BOB빌딩,"lat=37.515800, lng=127.032665"
주식회사 써브웨이학동역점,서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 1층 103호,2,REGISTRABLE,,,서울특별시 강남구 학동로 171 삼익악기 빌딩,"lat=37.514054, lng=127.029570"
영칼로리포케&샐러드 서울학동역점(YOUNGKCAL),"서울특별시 강남구 학동로25길 11 지하1층 103호(논현동, 씨플레이스)",2,MATCHED,cmol1yjno000xqxm06j5rvf6c,영칼로리포케&샐러드 서울학동역점,"서울특별시 강남구 학동로25길 11 지하 1층 103호 논현동,씨플레이스",score=1.00
다옴,서울특별시 강남구 학동로 223 (논현동) 대영빌딩 1층,2,REGISTRABLE,,,서울특별시 강남구 학동로 223 대영빌딩,"lat=37.515096, lng=127.033505"
옥된장 강남구청점,서울특별시 강남구 언주로134길 9 (논현동) 1층 옥된장 강남구청점,2,MATCHED,cmol1z0ua008uqxm0obc6j1vl,옥된장 강남구청점,언주로134길 9 1층,score=1.00
해장왕 (양평해장국),서울특별시 강남구 언주로129길 6 (논현동) 1층,2,MATCHED,cmojjumz5000210kc8ex9pdc6,해장왕양평해장국 강남학동역본점,서울 강남구 언주로129길 6,score=0.85
물고기자리,서울특별시 강남구 언주로133길 18(논현동) 2층 물고기자리,2,MATCHED,cmol1z0kb008pqxm0piig4rg3,물고기자리 강남점,언주로133길 18 2층,score=0.85
컴포즈커피 서울세관사거리점,서울특별시 강남구 학동로 235 1층 102호,2,MATCHED,cmoqh4of30003quorhpslttvw,컴포즈커피 서울세관사거리점,서울 강남구 학동로 235,score=1.00
나주곰탕,"서울특별시 강남구 학동로 221 (논현동, 지상1층) 나주곰탕",2,MATCHED,cmojev7oi0003us3f2o7fovs7,곰작골나주곰탕 학동점,서울 강남구 학동로 221,score=0.85
이태리부대찌개 학동점,서울특별시 강남구 학동로33길 15 (논현동) 1층 이태리부대찌개,2,MATCHED,cmojguadx00022g4teuuovvca,이태리부대찌개 학동점,서울 강남구 학동로33길 15,score=1.00
씨벨커피(cbellcoffee),"서울특별시 강남구 논현로136길 26(논현동, 논현드림빌) 1층 cafe cbellcoffee(씨벨커피)",1,MATCHED,cmojjxocy000230a6ajteyjus,씨벨커피,서울 강남구 논현로136길 26,score=1.00
세븐일레븐 세관사거리점,서울특별시 강남구 언주로 708 1층 101호(논현동),1,REGISTRABLE,,,서울특별시 강남구 언주로 708 경원빌딩,"lat=37.516292, lng=127.035740"
향동가,서울특별시 강남구 논현로136길 15 1층(논현동),1,MATCHED,cmol1yj3o000nqxm0lbunpaqu,향동가,서울특별시 강남구 논현로136길 15 1층,score=1.00
텐퍼센트 문래에이스하이테크시티점,서울특별시 영등포구 경인로 775 (문래동3가) 지하1층 141호,1,OUT_OF_AREA,,,,
김굴아굴국밥,서울특별시 영등포구 경인로 775 (문래동3가) 에이스 하이테크시티 지하 139호,1,OUT_OF_AREA,,,,
진전복삼계탕 논현점,서울특별시 강남구 언주로133길 18 (논현동) B1,1,MATCHED,cmol1yuoh006cqxm0ri66orjg,진전복삼계탕 본점,서울특별시 강남구 언주로133길 18 B1,score=0.78
동천홍 학동점,서울특별시 강남구 논현로132길 29 (논현동) 2층,1,REGISTRABLE,,,서울특별시 강남구 논현로132길 29,"lat=37.515557, lng=127.032768"
알로하포케 학동점,서울특별시 강남구 논현로131길 24 (논현동) 101호,1,REGISTRABLE,,,서울특별시 강남구 논현로131길 24,"lat=37.514182, lng=127.028334"
담미온 학동점,서울특별시 강남구 논현로 712(논현동) 동호빌딩 1층 2호,1,MATCHED,cmol1ywwx007gqxm0k0p2cj9e,담미온 학동점,논현로 712 동호빌딩 1층 담미온,score=1.00
